time,vwap
2020-05-01 15:15,176.2747
2020-05-01 15:14,176.2762
2020-05-01 15:13,176.2775
2020-05-01 15:12,176.2804
2020-05-01 15:11,176.2815
2020-05-01 15:10,176.2831
2020-05-01 15:09,176.2844
2020-05-01 15:08,176.2859
2020-05-01 15:07,176.2873
2020-05-01 15:06,176.2903
2020-05-01 15:05,176.2928
2020-05-01 15:04,176.2965
2020-05-01 15:03,176.2985
2020-05-01 15:02,176.3005
2020-05-01 15:01,176.3030
2020-05-01 15:00,176.3069
2020-05-01 14:59,176.3096
2020-05-01 14:58,176.3123
2020-05-01 14:57,176.3143
2020-05-01 14:56,176.3171
2020-05-01 14:55,176.3195
2020-05-01 14:54,176.3216
2020-05-01 14:53,176.3243
2020-05-01 14:52,176.3269
2020-05-01 14:51,176.3290
2020-05-01 14:50,176.3328
2020-05-01 14:49,176.3363
2020-05-01 14:48,176.3387
2020-05-01 14:47,176.3418
2020-05-01 14:46,176.3437
2020-05-01 14:45,176.3471
2020-05-01 14:44,176.3489
2020-05-01 14:43,176.3511
2020-05-01 14:42,176.3536
2020-05-01 14:41,176.3562
2020-05-01 14:40,176.3659
2020-05-01 14:39,176.3713
2020-05-01 14:38,176.3735
2020-05-01 14:37,176.3801
2020-05-01 14:36,176.3821
2020-05-01 14:35,176.3847
2020-05-01 14:34,176.3901
2020-05-01 14:33,176.3959
2020-05-01 14:32,176.3981
2020-05-01 14:31,176.4000
2020-05-01 14:30,176.4034
2020-05-01 14:29,176.4084
2020-05-01 14:28,176.4119
2020-05-01 14:27,176.4152
2020-05-01 14:26,176.4176
2020-05-01 14:25,176.4217
2020-05-01 14:24,176.4263
2020-05-01 14:23,176.4343
2020-05-01 14:22,176.4404
2020-05-01 14:21,176.4462
2020-05-01 14:20,176.4534
2020-05-01 14:19,176.4562
2020-05-01 14:18,176.4622
2020-05-01 14:17,176.4655
2020-05-01 14:16,176.4692
2020-05-01 14:15,176.4727
2020-05-01 14:14,176.4767
2020-05-01 14:13,176.4798
2020-05-01 14:12,176.4838
2020-05-01 14:11,176.4947
2020-05-01 14:10,176.4989
2020-05-01 14:09,176.5025
2020-05-01 14:08,176.5074
2020-05-01 14:07,176.5109
2020-05-01 14:06,176.5150
2020-05-01 14:05,176.5197
2020-05-01 14:04,176.5224
2020-05-01 14:03,176.5290
2020-05-01 14:02,176.5338
2020-05-01 14:01,176.5381
2020-05-01 14:00,176.5456
2020-05-01 13:59,176.5485
2020-05-01 13:58,176.5548
2020-05-01 13:57,176.5574
2020-05-01 13:56,176.5618
2020-05-01 13:55,176.5654
2020-05-01 13:54,176.5684
2020-05-01 13:53,176.5714
2020-05-01 13:52,176.5741
2020-05-01 13:51,176.5776
2020-05-01 13:50,176.5801
2020-05-01 13:49,176.5867
2020-05-01 13:48,176.5990
2020-05-01 13:47,176.6036
2020-05-01 13:46,176.6105
2020-05-01 13:45,176.6131
2020-05-01 13:44,176.6160
2020-05-01 13:43,176.6207
2020-05-01 13:42,176.6243
2020-05-01 13:41,176.6275
2020-05-01 13:40,176.6313
2020-05-01 13:39,176.6359
2020-05-01 13:38,176.6390
2020-05-01 13:37,176.6453
2020-05-01 13:36,176.6492
2020-05-01 13:35,176.6535
2020-05-01 13:34,176.6576
2020-05-01 13:33,176.6618
2020-05-01 13:32,176.6644
2020-05-01 13:31,176.6679
2020-05-01 13:30,176.6715
2020-05-01 13:29,176.6758
2020-05-01 13:28,176.6787
2020-05-01 13:27,176.6813
2020-05-01 13:26,176.6849
2020-05-01 13:25,176.6884
2020-05-01 13:24,176.6944
2020-05-01 13:23,176.6975
2020-05-01 13:22,176.7027
2020-05-01 13:21,176.7075
2020-05-01 13:20,176.7121
2020-05-01 13:19,176.7173
2020-05-01 13:18,176.7281
2020-05-01 13:17,176.7371
2020-05-01 13:16,176.7525
2020-05-01 13:15,176.7613
2020-05-01 13:14,176.7719
2020-05-01 13:13,176.7792
2020-05-01 13:12,176.7835
2020-05-01 13:11,176.7855
2020-05-01 13:10,176.7887
2020-05-01 13:09,176.7920
2020-05-01 13:08,176.7967
2020-05-01 13:07,176.8029
2020-05-01 13:06,176.8067
2020-05-01 13:05,176.8112
2020-05-01 13:04,176.8137
2020-05-01 13:03,176.8170
2020-05-01 13:02,176.8211
2020-05-01 13:01,176.8235
2020-05-01 13:00,176.8274
2020-05-01 12:59,176.8295
2020-05-01 12:58,176.8331
2020-05-01 12:57,176.8371
2020-05-01 12:56,176.8419
2020-05-01 12:55,176.8451
2020-05-01 12:54,176.8513
2020-05-01 12:53,176.8572
2020-05-01 12:52,176.8632
